Auguste HELLEMANS,GOETINCK Hector (BEL),SPORTS
Bart McGHEE,MILLAR Bob (USA),SPORTS
Nikolaas HOYDONCKX,GOETINCK Hector (BEL),SPORTS
George MOORHOUSE,MILLAR Bob (USA),SPORTS
Jacques MOESCHAL,GOETINCK Hector (BEL),SPORTS
Bert PATENAUDE,MILLAR Bob (USA),SPORTS
Theodore NOUWENS,GOETINCK Hector (BEL),SPORTS
Ralph TRACY,MILLAR Bob (USA),SPORTS
Fernand ADAMS,GOETINCK Hector (BEL),SPORTS
Alexander WOOD,MILLAR Bob (USA),SPORTS
Louis VERSYP,GOETINCK Hector (BEL),SPORTS
Andrew AULD,MILLAR Bob (USA),SPORTS
Bernard VOORHOOF,GOETINCK Hector (BEL),SPORTS
Jim BROWN,MILLAR Bob (USA),SPORTS
Pierre BRAINE,GOETINCK Hector (BEL),SPORTS
Frank VAUGHN,MILLAR Bob (USA),SPORTS
Alexis CHANTRAINE,GOETINCK Hector (BEL),SPORTS
Mike BOOKIE,MILLAR Bob (USA),SPORTS
Jean DE BIE,GOETINCK Hector (BEL),SPORTS
Jim GENTLE,MILLAR Bob (USA),SPORTS
Andre SAEYS,GOETINCK Hector (BEL),SPORTS
Phil SLONE,MILLAR Bob (USA),SPORTS
Henri DE DEKEN,GOETINCK Hector (BEL),SPORTS
Arnie OLIVER,MILLAR Bob (USA),SPORTS
Gerard DELBEKE,GOETINCK Hector (BEL),SPORTS
Milovan JAKSIC,SIMONOVIC Bosko (YUG),SPORTS
JOEL,DE CARVALHO Pindaro (BRA),SPORTS
Blagoje MARJANOVIC,SIMONOVIC Bosko (YUG),SPORTS
TEOPHILO,DE CARVALHO Pindaro (BRA),SPORTS
Dragan MIHAJLOVIC,SIMONOVIC Bosko (YUG),SPORTS
POLY,DE CARVALHO Pindaro (BRA),SPORTS
Milorad ARSENIJEVIC,SIMONOVIC Bosko (YUG),SPORTS
FAUSTO,DE CARVALHO Pindaro (BRA),SPORTS
Ivica BEK,SIMONOVIC Bosko (YUG),SPORTS
PREGUINHO,DE CARVALHO Pindaro (BRA),SPORTS
Momcilo DJOKIC,SIMONOVIC Bosko (YUG),SPORTS
NILO,DE CARVALHO Pindaro (BRA),SPORTS
Milutin IVKOVIC,SIMONOVIC Bosko (YUG),SPORTS
BRILHANTE,DE CARVALHO Pindaro (BRA),SPORTS
Djordje VUJADINOVIC,SIMONOVIC Bosko (YUG),SPORTS
ARAKEN,DE CARVALHO Pindaro (BRA),SPORTS
Aleksandar TIRNANIC,SIMONOVIC Bosko (YUG),SPORTS
HERMOGENES,DE CARVALHO Pindaro (BRA),SPORTS
Branislav SEKULIC,SIMONOVIC Bosko (YUG),SPORTS
ITALIA,DE CARVALHO Pindaro (BRA),SPORTS
Ljubisa STEFANOVIC,SIMONOVIC Bosko (YUG),SPORTS
FERNANDO GIUDICELLI,DE CARVALHO Pindaro (BRA),SPORTS
Dragan TOSIC,SIMONOVIC Bosko (YUG),SPORTS
CARVALHO LEITE,DE CARVALHO Pindaro (BRA),SPORTS
Milan STOJANOVIC,SIMONOVIC Bosko (YUG),SPORTS
BENEDICTO,DE CARVALHO Pindaro (BRA),SPORTS
Teofilo SPASOJEVIC,SIMONOVIC Bosko (YUG),SPORTS
OSCARINO,DE CARVALHO Pindaro (BRA),SPORTS
Branislav HRNJICEK,SIMONOVIC Bosko (YUG),SPORTS
BENVENUTTO,DE CARVALHO Pindaro (BRA),SPORTS
Vlastimir PETKOVIC,SIMONOVIC Bosko (YUG),SPORTS
DOCA,DE CARVALHO Pindaro (BRA),SPORTS
Dragutin NAJDANOVIC,SIMONOVIC Bosko (YUG),SPORTS
PAMPLONA,DE CARVALHO Pindaro (BRA),SPORTS
FORTES,DE CARVALHO Pindaro (BRA),SPORTS
MANOELZINHO,DE CARVALHO Pindaro (BRA),SPORTS
IVAN MARIZ,DE CARVALHO Pindaro (BRA),SPORTS
MODERATO,DE CARVALHO Pindaro (BRA),SPORTS
VELLOSO,DE CARVALHO Pindaro (BRA),SPORTS
ZE LUIS,DE CARVALHO Pindaro (BRA),SPORTS
RUSSINHO,DE CARVALHO Pindaro (BRA),SPORTS
Ion LAPUSNEANU,LUCHIDE Octav (ROU),SPORTS
Juan VALDIVIESO,BRU Francisco (ESP),SPORTS
Ladislau RAFFINSKY,LUCHIDE Octav (ROU),SPORTS
Alejandro VILLANUEVA,BRU Francisco (ESP),SPORTS
Rudolf BUERGER,LUCHIDE Octav (ROU),SPORTS
Julio LORES,BRU Francisco (ESP),SPORTS
Adalbert DESU,LUCHIDE Octav (ROU),SPORTS
Placido GALINDO,BRU Francisco (ESP),SPORTS
Alfred EISENBEISSER,LUCHIDE Octav (ROU),SPORTS
Domingo GARCIA,BRU Francisco (ESP),SPORTS
Nicolae KOVACS,LUCHIDE Octav (ROU),SPORTS
Jose Maria LAVALLE,BRU Francisco (ESP),SPORTS
Constantin STANCIU,LUCHIDE Octav (ROU),SPORTS
Mario DE LAS CASAS,BRU Francisco (ESP),SPORTS
Adalbert STEINER,LUCHIDE Octav (ROU),SPORTS
Alberto DENEGRI,BRU Francisco (ESP),SPORTS
Emerich VOGL,LUCHIDE Octav (ROU),SPORTS
Demetrio NEYRA,BRU Francisco (ESP),SPORTS
Rudolf WETZER,LUCHIDE Octav (ROU),SPORTS
Alberto SORIA,BRU Francisco (ESP),SPORTS
Stefan BARBU,LUCHIDE Octav (ROU),SPORTS
Luis SOUZA,BRU Francisco (ESP),SPORTS
Iosif CZAKO,LUCHIDE Octav (ROU),SPORTS
Jorge PARDON,BRU Francisco (ESP),SPORTS
Ilile SUBASEANU,LUCHIDE Octav (ROU),SPORTS
Jose FLORES,BRU Francisco (ESP),SPORTS
Samuel ZAUBER,LUCHIDE Octav (ROU),SPORTS
Antonio MAQUILON,BRU Francisco (ESP),SPORTS
Corneliu ROBE,LUCHIDE Octav (ROU),SPORTS
Lizardo NUE RODRIGUEZ,BRU Francisco (ESP),SPORTS
Julio QUINTANA,BRU Francisco (ESP),SPORTS
Arturo FERNANDEZ,BRU Francisco (ESP),SPORTS
Pablo PACHECO,BRU Francisco (ESP),SPORTS
Carlos CILLONIZ,BRU Francisco (ESP),SPORTS
Jorge GONGORA,BRU Francisco (ESP),SPORTS
Jorge SARMIENTO,BRU Francisco (ESP),SPORTS
Juan Alfonso VALLE,BRU Francisco (ESP),SPORTS
Eduardo ASTENGO,BRU Francisco (ESP),SPORTS
Angel BOSSIO,OLAZAR Francisco (ARG),SPORTS
Alex THEPOT,CAUDRON Raoul (FRA),SPORTS
Francisco VARALLO,OLAZAR Francisco (ARG),SPORTS
Alex VILLAPLANE,CAUDRON Raoul (FRA),SPORTS
Pedro SUAREZ,OLAZAR Francisco (ARG),SPORTS
Lucien LAURENT,CAUDRON Raoul (FRA),SPORTS
Jose DELLA TORRE,OLAZAR Francisco (ARG),SPORTS
Marcel CAPELLE,CAUDRON Raoul (FRA),SPORTS
Juan EVARISTO,OLAZAR Francisco (ARG),SPORTS
Augustin CHANTREL,CAUDRON Raoul (FRA),SPORTS
Mario EVARISTO,OLAZAR Francisco (ARG),SPORTS
Edmond DELFOUR,CAUDRON Raoul (FRA),SPORTS
Manuel FERREIRA,OLAZAR Francisco (ARG),SPORTS
Marcel LANGILLER,CAUDRON Raoul (FRA),SPORTS
Roberto CERRO,OLAZAR Francisco (ARG),SPORTS
Ernest LIBERATI,CAUDRON Raoul (FRA),SPORTS
Ramon MUTTIS,OLAZAR Francisco (ARG),SPORTS
Andre MASCHINOT,CAUDRON Raoul (FRA),SPORTS
Luis MONTI,OLAZAR Francisco (ARG),SPORTS
Etienne MATTLER,CAUDRON Raoul (FRA),SPORTS
Natalio PERINETTI,OLAZAR Francisco (ARG),SPORTS
Marcel PINEL,CAUDRON Raoul (FRA),SPORTS
Alejandro SCOPELLI,OLAZAR Francisco (ARG),SPORTS
Celestin DELMER,CAUDRON Raoul (FRA),SPORTS
Carlos SPADARO,OLAZAR Francisco (ARG),SPORTS
Andre TASSIN,CAUDRON Raoul (FRA),SPORTS
Carlos PEUCELLE,OLAZAR Francisco (ARG),SPORTS
Nouma ANDOIRE,CAUDRON Raoul (FRA),SPORTS
Rodolfo ORLANDINI,OLAZAR Francisco (ARG),SPORTS
Jean LAURENT,CAUDRON Raoul (FRA),SPORTS
Fernando PATERNOSTER,OLAZAR Francisco (ARG),SPORTS
Emile VEINANTE,CAUDRON Raoul (FRA),SPORTS
Adolfo ZUMELZU,OLAZAR Francisco (ARG),SPORTS
Guillermo STABILE,OLAZAR Francisco (ARG),SPORTS
Edmundo PIAGGIO,OLAZAR Francisco (ARG),SPORTS
Atilio DEMARIA,OLAZAR Francisco (ARG),SPORTS
Juan BOTASSO,OLAZAR Francisco (ARG),SPORTS
Alberto CHIVIDINI,OLAZAR Francisco (ARG),SPORTS
Roberto CORTES,ORTH Gyorgy (HUN),SPORTS
Isidoro SOTA,LUQUE Juan (MEX),SPORTS
Victor MORALES,ORTH Gyorgy (HUN),SPORTS
Luis PEREZ,LUQUE Juan (MEX),SPORTS
Tomas OJEDA,ORTH Gyorgy (HUN),SPORTS
Felipe ROSAS,LUQUE Juan (MEX),SPORTS
Ulises POIRIER,ORTH Gyorgy (HUN),SPORTS
Manuel ROSAS,LUQUE Juan (MEX),SPORTS
Guillermo SAAVEDRA,ORTH Gyorgy (HUN),SPORTS
Jose RUIZ,LUQUE Juan (MEX),SPORTS
Carlos SCHNEBERGER,ORTH Gyorgy (HUN),SPORTS
Alfredo SANCHEZ,LUQUE Juan (MEX),SPORTS
Guillermo SUBIABRE,ORTH Gyorgy (HUN),SPORTS
Juan CARRENO,LUQUE Juan (MEX),SPORTS
Arturo TORRES,ORTH Gyorgy (HUN),SPORTS
Roberto GAYON,LUQUE Juan (MEX),SPORTS
Carlos VIDAL,ORTH Gyorgy (HUN),SPORTS
Rafael GARZA,LUQUE Juan (MEX),SPORTS
Eberardo VILLALOBOS,ORTH Gyorgy (HUN),SPORTS
Hilario LOPEZ,LUQUE Juan (MEX),SPORTS
Humberto ELGUETA,ORTH Gyorgy (HUN),SPORTS
Efrain AMEZCUA,LUQUE Juan (MEX),SPORTS
Guillermo RIVEROS,ORTH Gyorgy (HUN),SPORTS
Oscar BONFIGLIO,LUQUE Juan (MEX),SPORTS
Arturo CODDOU,ORTH Gyorgy (HUN),SPORTS
Dionisio MEJIA,LUQUE Juan (MEX),SPORTS
Horacio MUNOZ,ORTH Gyorgy (HUN),SPORTS
Felipe OLIVARES,LUQUE Juan (MEX),SPORTS
Cesar ESPINOZA,ORTH Gyorgy (HUN),SPORTS
Raimundo RODRIGUEZ,LUQUE Juan (MEX),SPORTS
Casimiro TORRES,ORTH Gyorgy (HUN),SPORTS
Francisco GARZA GUTIERREZ,LUQUE Juan (MEX),SPORTS
Juan AGUILERA,ORTH Gyorgy (HUN),SPORTS
Jesus CASTRO,LUQUE Juan (MEX),SPORTS
Guillermo ARELLANO,ORTH Gyorgy (HUN),SPORTS
Ernesto CHAPARRO,ORTH Gyorgy (HUN),SPORTS
Milovan JAKSIC,SIMONOVIC Bosko (YUG),SPORTS
Jesus BERMUDEZ,SAUCEDO Ulises (BOL),SPORTS
Blagoje MARJANOVIC,SIMONOVIC Bosko (YUG),SPORTS
Jose BUSTAMANTE,SAUCEDO Ulises (BOL),SPORTS
Dragan MIHAJLOVIC,SIMONOVIC Bosko (YUG),SPORTS
Casiano CHAVARRIA,SAUCEDO Ulises (BOL),SPORTS
Dragutin NAJDANOVIC,SIMONOVIC Bosko (YUG),SPORTS
Segundo DURANDAL,SAUCEDO Ulises (BOL),SPORTS
Ljubisa STEFANOVIC,SIMONOVIC Bosko (YUG),SPORTS
Rene FERNANDEZ,SAUCEDO Ulises (BOL),SPORTS
Djordje VUJADINOVIC,SIMONOVIC Bosko (YUG),SPORTS
Gumercindo GOMEZ,SAUCEDO Ulises (BOL),SPORTS
Aleksandar TIRNANIC,SIMONOVIC Bosko (YUG),SPORTS
Diogenes LARA,SAUCEDO Ulises (BOL),SPORTS
Milorad ARSENIJEVIC,SIMONOVIC Bosko (YUG),SPORTS
Rafael MENDEZ,SAUCEDO Ulises (BOL),SPORTS
Ivica BEK,SIMONOVIC Bosko (YUG),SPORTS
Jorge BALDERRAMA,SAUCEDO Ulises (BOL),SPORTS
Momcilo DJOKIC,SIMONOVIC Bosko (YUG),SPORTS
Mario ALBORTA,SAUCEDO Ulises (BOL),SPORTS
Milutin IVKOVIC,SIMONOVIC Bosko (YUG),SPORTS
Jorge ARGOTE,SAUCEDO Ulises (BOL),SPORTS
Milan STOJANOVIC,SIMONOVIC Bosko (YUG),SPORTS
Miguel BRITO,SAUCEDO Ulises (BOL),SPORTS
Teofilo SPASOJEVIC,SIMONOVIC Bosko (YUG),SPORTS
Jose NOYA,SAUCEDO Ulises (BOL),SPORTS
Branislav HRNJICEK,SIMONOVIC Bosko (YUG),SPORTS
Miguel MURILLO,SAUCEDO Ulises (BOL),SPORTS
Vlastimir PETKOVIC,SIMONOVIC Bosko (YUG),SPORTS
Luis REYES PENARANDA,SAUCEDO Ulises (BOL),SPORTS
Dragan TOSIC,SIMONOVIC Bosko (YUG),SPORTS
Eduardo REYES ORTIZ,SAUCEDO Ulises (BOL),SPORTS
Branislav SEKULIC,SIMONOVIC Bosko (YUG),SPORTS
Renato SAINZ,SAUCEDO Ulises (BOL),SPORTS
Jimmy DOUGLAS,MILLAR Bob (USA),SPORTS
Modesto DENIS,DURAND LAGUNA Jose (ARG),SPORTS
Tom FLORIE,MILLAR Bob (USA),SPORTS
Eusebio DIAZ,DURAND LAGUNA Jose (ARG),SPORTS
Jimmy GALLAGHER,MILLAR Bob (USA),SPORTS
Diogenes DOMINGUEZ,DURAND LAGUNA Jose (ARG),SPORTS
Billy GONSALVES,MILLAR Bob (USA),SPORTS
Romildo ETCHEVERRY,DURAND LAGUNA Jose (ARG),SPORTS
Bart McGHEE,MILLAR Bob (USA),SPORTS
Delfin BENITEZ CACERES,DURAND LAGUNA Jose (ARG),SPORTS
George MOORHOUSE,MILLAR Bob (USA),SPORTS
Aurelio GONZALEZ,DURAND LAGUNA Jose (ARG),SPORTS
Bert PATENAUDE,MILLAR Bob (USA),SPORTS
Jose Leon MIRACCA,DURAND LAGUNA Jose (ARG),SPORTS
Ralph TRACY,MILLAR Bob (USA),SPORTS
Lino NESSI,DURAND LAGUNA Jose (ARG),SPORTS
Alexander WOOD,MILLAR Bob (USA),SPORTS
Quiterio OLMEDO,DURAND LAGUNA Jose (ARG),SPORTS
Andrew AULD,MILLAR Bob (USA),SPORTS
Luis VARGAS PENA,DURAND LAGUNA Jose (ARG),SPORTS
Jim BROWN,MILLAR Bob (USA),SPORTS
Francisco AGUIRRE,DURAND LAGUNA Jose (ARG),SPORTS
Frank VAUGHN,MILLAR Bob (USA),SPORTS
Santiago BENITEZ,DURAND LAGUNA Jose (ARG),SPORTS
Mike BOOKIE,MILLAR Bob (USA),SPORTS
Gerardo ROMERO,DURAND LAGUNA Jose (ARG),SPORTS
Jim GENTLE,MILLAR Bob (USA),SPORTS
Eustaquio CHAMORRO,DURAND LAGUNA Jose (ARG),SPORTS
Phil SLONE,MILLAR Bob (USA),SPORTS
Diego FLORENTIN,DURAND LAGUNA Jose (ARG),SPORTS
Arnie OLIVER,MILLAR Bob (USA),SPORTS
Bernabe RIVERA,DURAND LAGUNA Jose (ARG),SPORTS
Jacinto VILLALBA,DURAND LAGUNA Jose (ARG),SPORTS
Amadeo ORTEGA,DURAND LAGUNA Jose (ARG),SPORTS
Cayetano CARRERAS SAGUEIR,DURAND LAGUNA Jose (ARG),SPORTS
Pedro BENITEZ,DURAND LAGUNA Jose (ARG),SPORTS
Salvador FLORES,DURAND LAGUNA Jose (ARG),SPORTS
Tranquilino GARCETE,DURAND LAGUNA Jose (ARG),SPORTS
Enrique BALLESTRERO,SUPPICI Alberto (URU),SPORTS
Jorge PARDON,BRU Francisco (ESP),SPORTS
Hector CASTRO,SUPPICI Alberto (URU),SPORTS
Luis SOUZA,BRU Francisco (ESP),SPORTS
Pedro CEA,SUPPICI Alberto (URU),SPORTS
Eduardo ASTENGO,BRU Francisco (ESP),SPORTS
Lorenzo FERNANDEZ,SUPPICI Alberto (URU),SPORTS
Mario DE LAS CASAS,BRU Francisco (ESP),SPORTS
Alvaro GESTIDO,SUPPICI Alberto (URU),SPORTS
Alberto DENEGRI,BRU Francisco (ESP),SPORTS
Victoriano IRIARTE,SUPPICI Alberto (URU),SPORTS
Placido GALINDO,BRU Francisco (ESP),SPORTS
Jose ANDRADE,SUPPICI Alberto (URU),SPORTS
Jose Maria LAVALLE,BRU Francisco (ESP),SPORTS
Pedro PETRONE,SUPPICI Alberto (URU),SPORTS
Antonio MAQUILON,BRU Francisco (ESP),SPORTS
Domingo TEJERA,SUPPICI Alberto (URU),SPORTS
Demetrio NEYRA,BRU Francisco (ESP),SPORTS
Santos URDINARAN,SUPPICI Alberto (URU),SPORTS
Alejandro VILLANUEVA,BRU Francisco (ESP),SPORTS
Jose NASAZZI,SUPPICI Alberto (URU),SPORTS
Julio LORES,BRU Francisco (ESP),SPORTS
Juan Carlos CALVO,SUPPICI Alberto (URU),SPORTS
Lizardo NUE RODRIGUEZ,BRU Francisco (ESP),SPORTS
Miguel CAPPUCCINI,SUPPICI Alberto (URU),SPORTS
Julio QUINTANA,BRU Francisco (ESP),SPORTS
Conduelo PIRIZ,SUPPICI Alberto (URU),SPORTS
Arturo FERNANDEZ,BRU Francisco (ESP),SPORTS
Angel MELOGNO,SUPPICI Alberto (URU),SPORTS
Pablo PACHECO,BRU Francisco (ESP),SPORTS
Emilio RECOBA,SUPPICI Alberto (URU),SPORTS
Carlos CILLONIZ,BRU Francisco (ESP),SPORTS
Carlos RIOLFO,SUPPICI Alberto (URU),SPORTS
Jorge GONGORA,BRU Francisco (ESP),SPORTS
Zoilo SALDOMBIDE,SUPPICI Alberto (URU),SPORTS
Jorge SARMIENTO,BRU Francisco (ESP),SPORTS
Hector SCARONE,SUPPICI Alberto (URU),SPORTS
Juan Alfonso VALLE,BRU Francisco (ESP),SPORTS
Juan ANSELMO,SUPPICI Alberto (URU),SPORTS
Domingo GARCIA,BRU Francisco (ESP),SPORTS
Ernesto MASCHERONI,SUPPICI Alberto (URU),SPORTS
Jose FLORES,BRU Francisco (ESP),SPORTS
Pablo DORADO,SUPPICI Alberto (URU),SPORTS
Juan VALDIVIESO,BRU Francisco (ESP),SPORTS
Alberto SORIA,BRU Francisco (ESP),SPORTS
Roberto CORTES,ORTH Gyorgy (HUN),SPORTS
Alex THEPOT,CAUDRON Raoul (FRA),SPORTS
Guillermo RIVEROS,ORTH Gyorgy (HUN),SPORTS
Emile VEINANTE,CAUDRON Raoul (FRA),SPORTS
Guillermo SAAVEDRA,ORTH Gyorgy (HUN),SPORTS
Alex VILLAPLANE,CAUDRON Raoul (FRA),SPORTS
Carlos SCHNEBERGER,ORTH Gyorgy (HUN),SPORTS
Etienne MATTLER,CAUDRON Raoul (FRA),SPORTS
Guillermo SUBIABRE,ORTH Gyorgy (HUN),SPORTS
Marcel PINEL,CAUDRON Raoul (FRA),SPORTS
Arturo TORRES,ORTH Gyorgy (HUN),SPORTS
Marcel CAPELLE,CAUDRON Raoul (FRA),SPORTS
Casimiro TORRES,ORTH Gyorgy (HUN),SPORTS
Augustin CHANTREL,CAUDRON Raoul (FRA),SPORTS
Carlos VIDAL,ORTH Gyorgy (HUN),SPORTS
Edmond DELFOUR,CAUDRON Raoul (FRA),SPORTS
Eberardo VILLALOBOS,ORTH Gyorgy (HUN),SPORTS
Celestin DELMER,CAUDRON Raoul (FRA),SPORTS
Tomas OJEDA,ORTH Gyorgy (HUN),SPORTS
Marcel LANGILLER,CAUDRON Raoul (FRA),SPORTS
Ernesto CHAPARRO,ORTH Gyorgy (HUN),SPORTS
Ernest LIBERATI,CAUDRON Raoul (FRA),SPORTS
Ulises POIRIER,ORTH Gyorgy (HUN),SPORTS
Andre MASCHINOT,CAUDRON Raoul (FRA),SPORTS
Humberto ELGUETA,ORTH Gyorgy (HUN),SPORTS
Andre TASSIN,CAUDRON Raoul (FRA),SPORTS
Arturo CODDOU,ORTH Gyorgy (HUN),SPORTS
Nouma ANDOIRE,CAUDRON Raoul (FRA),SPORTS
Horacio MUNOZ,ORTH Gyorgy (HUN),SPORTS
Jean LAURENT,CAUDRON Raoul (FRA),SPORTS
Cesar ESPINOZA,ORTH Gyorgy (HUN),SPORTS
Lucien LAURENT,CAUDRON Raoul (FRA),SPORTS
Victor MORALES,ORTH Gyorgy (HUN),SPORTS
Juan AGUILERA,ORTH Gyorgy (HUN),SPORTS
Guillermo ARELLANO,ORTH Gyorgy (HUN),SPORTS
Angel BOSSIO,OLAZAR Francisco (ARG),SPORTS
Oscar BONFIGLIO,LUQUE Juan (MEX),SPORTS
Atilio DEMARIA,OLAZAR Francisco (ARG),SPORTS
Juan CARRENO,LUQUE Juan (MEX),SPORTS
Francisco VARALLO,OLAZAR Francisco (ARG),SPORTS
Roberto GAYON,LUQUE Juan (MEX),SPORTS
Alberto CHIVIDINI,OLAZAR Francisco (ARG),SPORTS
Francisco GARZA GUTIERREZ,LUQUE Juan (MEX),SPORTS
Jose DELLA TORRE,OLAZAR Francisco (ARG),SPORTS
Rafael GARZA,LUQUE Juan (MEX),SPORTS
Rodolfo ORLANDINI,OLAZAR Francisco (ARG),SPORTS
Hilario LOPEZ,LUQUE Juan (MEX),SPORTS
Fernando PATERNOSTER,OLAZAR Francisco (ARG),SPORTS
Felipe OLIVARES,LUQUE Juan (MEX),SPORTS
Adolfo ZUMELZU,OLAZAR Francisco (ARG),SPORTS
Raimundo RODRIGUEZ,LUQUE Juan (MEX),SPORTS
Guillermo STABILE,OLAZAR Francisco (ARG),SPORTS
Felipe ROSAS,LUQUE Juan (MEX),SPORTS
Carlos SPADARO,OLAZAR Francisco (ARG),SPORTS
Manuel ROSAS,LUQUE Juan (MEX),SPORTS
Carlos PEUCELLE,OLAZAR Francisco (ARG),SPORTS
Alfredo SANCHEZ,LUQUE Juan (MEX),SPORTS
Pedro SUAREZ,OLAZAR Francisco (ARG),SPORTS
Isidoro SOTA,LUQUE Juan (MEX),SPORTS
Edmundo PIAGGIO,OLAZAR Francisco (ARG),SPORTS
Jesus CASTRO,LUQUE Juan (MEX),SPORTS
Luis MONTI,OLAZAR Francisco (ARG),SPORTS
Luis PEREZ,LUQUE Juan (MEX),SPORTS
Natalio PERINETTI,OLAZAR Francisco (ARG),SPORTS
Jose RUIZ,LUQUE Juan (MEX),SPORTS
Alejandro SCOPELLI,OLAZAR Francisco (ARG),SPORTS
Dionisio MEJIA,LUQUE Juan (MEX),SPORTS
Juan EVARISTO,OLAZAR Francisco (ARG),SPORTS
Efrain AMEZCUA,LUQUE Juan (MEX),SPORTS
Mario EVARISTO,OLAZAR Francisco (ARG),SPORTS
Manuel FERREIRA,OLAZAR Francisco (ARG),SPORTS
Roberto CERRO,OLAZAR Francisco (ARG),SPORTS
Ramon MUTTIS,OLAZAR Francisco (ARG),SPORTS
Juan BOTASSO,OLAZAR Francisco (ARG),SPORTS
VELLOSO,DE CARVALHO Pindaro (BRA),SPORTS
Jesus BERMUDEZ,SAUCEDO Ulises (BOL),SPORTS
ZE LUIS,DE CARVALHO Pindaro (BRA),SPORTS
Jose BUSTAMANTE,SAUCEDO Ulises (BOL),SPORTS
RUSSINHO,DE CARVALHO Pindaro (BRA),SPORTS
Casiano CHAVARRIA,SAUCEDO Ulises (BOL),SPORTS
PREGUINHO,DE CARVALHO Pindaro (BRA),SPORTS
Segundo DURANDAL,SAUCEDO Ulises (BOL),SPORTS
MODERATO,DE CARVALHO Pindaro (BRA),SPORTS
Rene FERNANDEZ,SAUCEDO Ulises (BOL),SPORTS
HERMOGENES,DE CARVALHO Pindaro (BRA),SPORTS
Mario ALBORTA,SAUCEDO Ulises (BOL),SPORTS
ITALIA,DE CARVALHO Pindaro (BRA),SPORTS
Diogenes LARA,SAUCEDO Ulises (BOL),SPORTS
FERNANDO GIUDICELLI,DE CARVALHO Pindaro (BRA),SPORTS
Rafael MENDEZ,SAUCEDO Ulises (BOL),SPORTS
CARVALHO LEITE,DE CARVALHO Pindaro (BRA),SPORTS
Eduardo REYES ORTIZ,SAUCEDO Ulises (BOL),SPORTS
BENEDICTO,DE CARVALHO Pindaro (BRA),SPORTS
Renato SAINZ,SAUCEDO Ulises (BOL),SPORTS
FAUSTO,DE CARVALHO Pindaro (BRA),SPORTS
Jorge BALDERRAMA,SAUCEDO Ulises (BOL),SPORTS
JOEL,DE CARVALHO Pindaro (BRA),SPORTS
Miguel BRITO,SAUCEDO Ulises (BOL),SPORTS
TEOPHILO,DE CARVALHO Pindaro (BRA),SPORTS
Jose NOYA,SAUCEDO Ulises (BOL),SPORTS
POLY,DE CARVALHO Pindaro (BRA),SPORTS
Miguel MURILLO,SAUCEDO Ulises (BOL),SPORTS
OSCARINO,DE CARVALHO Pindaro (BRA),SPORTS
Luis REYES PENARANDA,SAUCEDO Ulises (BOL),SPORTS
NILO,DE CARVALHO Pindaro (BRA),SPORTS
Jorge ARGOTE,SAUCEDO Ulises (BOL),SPORTS
BRILHANTE,DE CARVALHO Pindaro (BRA),SPORTS
Gumercindo GOMEZ,SAUCEDO Ulises (BOL),SPORTS
